0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:12 +1100] "GET /assets/i18n/en.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:12 +1100] "GET /0-es2015.f177768454184158a328.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:12 +1100] "GET /1-es2015.d7852768e05703307df0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:12 +1100] "GET /10-es2015.a933a07afd9d1554bd59.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:12 +1100] "GET /4-es2015.fb10d4bcd088a34135ab.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:12 +1100] "GET /12-es2015.0cd8a08cdd891cabbde9.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:12 +1100] "GET /29-es2015.ae8ba0e836e82222403b.js HTTP/1.1" 200 172403
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:12 +1100] "GET /13-es2015.9d88fc8e2d126e89bd05.js HTTP/1.1" 200 43242
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:12 +1100] "GET /configuration.pinpoint HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:12 +1100] "GET /applications.pinpoint HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:12 +1100] "GET /assets/img/icons/TOMCAT.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:12 +1100] "GET /assets/fonts/opensans/open-sans-v15-latin-600.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:12 +1100] "GET /icon-calendar-arrow.eccf21973ffa6d10e28a.png HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:12 +1100] "GET /assets/fonts/opensans/open-sans-v15-latin-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:12 +1100] "GET /assets/fonts/fontawesome-free-5.0.10/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:12 +1100] "GET /assets/fonts/nanum/nanum-gothic-v8-korean-700.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:12 +1100] "GET /assets/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:12 +1100] "GET /getAgentList.pinpoint?application=TESTAPP&from=1585132051000&to=1585132351000 HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:13 +1100] "GET /getApplicationStat/transaction/chart.pinpoint?applicationId=TESTAPP&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:13 +1100] "GET /getApplicationStat/activeTrace/chart.pinpoint?applicationId=TESTAPP&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:13 +1100] "GET /getApplicationStat/responseTime/chart.pinpoint?applicationId=TESTAPP&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 1010
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:13 +1100] "GET /getApplicationStat/fileDescriptor/chart.pinpoint?applicationId=TESTAPP&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 1036
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:13 +1100] "GET /getApplicationStat/cpuLoad/chart.pinpoint?applicationId=TESTAPP&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 1105
